Song,Artist,Album Date,BPM,Energy,Dance,Loud (Db),Valence,Duration,Acoustic,Popularity
One Dance,"Drake, Wizkid, Kyla",06-05-2016,104,63,79,-6,37,2:53,1,91
Passionfruit,Drake,18-03-2017,112,46,81,-11,36,4:58,26,87
God's Plan,Drake,29-06-2018,77,45,75,-9,36,3:18,3,85
Work,"Rihanna, Drake",28-01-2016,92,53,72,-6,55,3:39,7,81
Hotline Bling,Drake,06-05-2016,135,63,89,-8,62,4:27,0,58
In My Feelings,Drake,29-06-2018,91,63,84,-6,35,3:37,6,75
Nice For What,Drake,29-06-2018,93,91,59,-6,76,3:30,9,79
Life Is Good,"Future, Drake",10-01-2020,142,61,68,-6,51,3:57,7,72
Headlines,Drake,15-11-2011,152,57,64,-7,43,3:55,37,87
NOKIA,Drake,14-02-2025,106,73,54,-4,51,4:01,25,84
In the Name of Love,"Martin Garrix, Bebe Rexha",29-07-2016,134,52,50,-6,17,3:18,11,81
Scared to Be Lonely,"Martin Garrix, Dua Lipa",27-01-2017,138,54,58,-8,20,3:40,9,79
Animals,Martin Garrix,17-06-2013,128,87,68,-6,4,5:04,0,73
Summer Days,"Martin Garrix, Macklemore, Fall Out Boy",25-04-2019,114,72,66,-7,32,2:43,18,70
Ocean,"Martin Garrix, Khalid",15-06-2018,140,69,51,-7,22,3:36,58,66
High On Life,"Martin Garrix, Bonn",29-07-2018,128,49,41,-6,37,3:50,1,70
There for You,"Martin Garrix, Troye Sivan",26-05-2017,106,64,61,-8,13,3:41,12,64
Bouncybob,"Martin Garrix, Justin Mylo, Mesto",31-12-2015,128,90,73,-8,33,4:11,0,40
Told You So,"Martin Garrix, Jex",22-11-2024,128,73,65,-7,67,3:07,19,68
MAD,"Martin Garrix, Lauv",27-05-2025,128,48,63,-9,47,3:19,58,66
Enter Sandman - Remastered 2021,Metallica,10-09-2021,123,84,57,-8,62,5:31,0,85
Nothing Else Matters - Remastered 2021,Metallica,10-09-2021,142,40,55,-10,18,6:28,5,83
Master Of Puppets,Metallica,03-03-1986,105,84,54,-9,56,8:35,0,81
One,Metallica,25-08-1988,103,69,44,-9,43,7:26,0,78
For Whom The Bell Tolls - Remastered,Metallica,26-07-1984,118,86,52,-6,25,5:09,1,74
The Unforgiven - Remastered 2021,Metallica,10-09-2021,139,58,53,-9,21,6:27,2,75
Whiskey In The Jar,Metallica,01-01-1998,133,97,51,-4,57,5:04,0,75
Sad But True - Remastered 2021,Metallica,10-09-2021,89,88,63,-6,46,5:24,0,74
Fuel,Metallica,01-01-1997,107,95,49,-4,59,4:29,0,74
Fade To Black - Remastered,Metallica,26-07-1984,114,92,26,-7,28,6:57,0,72
Blue in Green,"Miles Davis, John Coltrane, Bill Evans",17-08-1959,110,2,42,-25,15,5:37,81,68
So What,"Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",17-08-1959,137,15,53,-17,21,9:22,71,64
It Never Entered My Mind,Miles Davis,19-04-2024,116,11,49,-16,11,5:23,88,41
Flamenco Sketches,"Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",17-08-1959,179,2,35,-21,23,9:26,90,54
Milestones,"Miles Davis, John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers, Philly Joe Jones",01-04-1958,118,55,55,-7,70,5:42,44,56
All Blues,"Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",17-08-1959,140,15,50,-18,36,11:32,77,53
Freddie Freeloader,"Miles Davis, John Coltrane, Cannonball Adderley, Wynton Kelly, Paul Chambers",17-08-1959,128,19,64,-16,50,9:46,70,53
Round Midnight ,"Miles Davis, John Coltrane, Red Garland, Paul Chambers, Philly Joe Jones",18-03-1957,113,18,49,-11,21,5:55,79,54
My Funny Valentine - Remastered,Miles Davis,13-08-2017,68,10,54,-18,27,5:57,87,40
Autumn Leaves,Miles Davis,13-10-2021,112,16,54,-14,31,10:58,78,40
Blinding Lights,The Weeknd,20-03-2020,171,73,51,-6,33,3:20,0,90
Starboy,"The Weeknd, Daft Punk",25-11-2016,186,59,68,-7,49,3:50,14,91
Save Your Tears,The Weeknd,20-03-2020,118,83,68,-5,64,3:35,2,87
Die For You,The Weeknd,25-11-2016,134,53,59,-7,51,4:20,11,79
Can't Feel My Face,The Weeknd,28-08-2015,108,77,71,-6,58,3:33,11,84
I Feel It Coming,"The Weeknd, Daft Punk",25-11-2016,93,82,77,-6,59,4:29,43,78
The Hills,The Weeknd,28-08-2015,113,56,59,-7,14,4:02,7,88
In Your Eyes,The Weeknd,20-03-2020,100,72,67,-5,72,3:57,0,77
Call Out My Name,The Weeknd,30-03-2018,134,59,46,-5,17,3:48,17,86
One Of The Girls ,"The Weeknd, JENNIE, Lily-Rose Depp",23-06-2023,85,64,26,-6,19,4:04,4,92
